Age,Income,Eco_Awareness,Event_Frequency,Online_Shopper,Preferred_Product,Monthly_Spend,Purchase_Intent
41,Medium,2,1,1,Combo Pack,309.2,0
45,Medium,2,8,0,Plates,642.31,0
25,Medium,2,8,0,Spoons,724.83,0
45,Low,4,4,1,Trays,731.76,1
53,High,4,0,0,Trays,520.01,0
43,Medium,3,6,1,Trays,599.3,1
25,High,2,9,0,Combo Pack,706.66,0
45,Medium,3,9,1,Spoons,848.52,1
45,Low,2,3,1,Bowls,474.36,0
54,Medium,3,8,0,Trays,838.37,0
58,Low,3,5,0,Spoons,657.21,0
53,Medium,5,2,1,Spoons,716.54,1
44,Low,3,5,0,Plates,654.24,0
34,Low,4,9,0,Trays,984.28,1
26,High,3,5,1,Combo Pack,665.64,1
50,Low,2,4,0,Spoons,503.29,0
37,High,3,1,1,Spoons,436.58,0
30,Low,1,9,1,Bowls,654.06,1
45,Medium,2,9,0,Plates,774.23,0
46,Medium,1,1,1,Spoons,263.37,0
30,Medium,2,6,1,Spoons,619.04,1
52,Low,4,1,0,Combo Pack,617.14,0
23,Low,4,5,0,Combo Pack,763.26,1
35,Low,4,4,0,Bowls,667.55,0
22,Low,1,3,0,Bowls,394.18,0
42,Medium,5,6,0,Bowls,831.69,1
19,High,2,7,0,Combo Pack,595.93,0
27,High,4,3,0,Combo Pack,666.79,0
47,Medium,2,0,1,Plates,325.82,0
22,Medium,1,0,1,Trays,137.75,0
50,Medium,5,0,1,Trays,580.86,1
18,Low,1,0,1,Plates,169.7,0
35,High,2,4,1,Trays,475.67,0
49,Medium,5,3,1,Combo Pack,797.18,1
28,Medium,5,8,1,Trays,1035.33,1
38,Low,1,2,0,Combo Pack,299.04,0
43,Medium,4,6,1,Plates,772.7,1
42,Medium,2,7,0,Bowls,582.52,0
39,High,3,5,0,Plates,721.01,0
44,Medium,3,9,1,Trays,879.61,1
30,Low,1,0,0,Combo Pack,164.67,0
50,High,2,7,0,Trays,685.98,0
51,Low,2,9,1,Trays,746.49,1
58,Medium,1,2,1,Bowls,285.64,0
52,Low,2,7,1,Trays,671.76,1
18,Medium,4,3,1,Bowls,612.93,1
38,High,1,7,0,Combo Pack,532.81,0
23,Low,4,0,0,Combo Pack,506.07,0
45,High,2,2,1,Bowls,375.03,0
34,Low,1,5,0,Plates,483.45,0
22,High,2,8,1,Combo Pack,793.45,1
48,Medium,1,1,0,Plates,212.29,0
22,High,2,0,0,Combo Pack,216.74,0
55,Low,4,9,1,Combo Pack,849.91,1
20,High,4,2,1,Spoons,592.48,1
40,Medium,2,3,1,Trays,416.84,0
54,Low,1,4,0,Trays,410.39,0
54,High,3,2,0,Plates,506.63,0
27,Low,4,9,0,Trays,869.84,1
27,High,4,1,0,Plates,459.26,0
36,Low,3,1,0,Combo Pack,464.8,0
34,Medium,2,6,0,Spoons,606.77,0
38,Medium,1,8,1,Spoons,578.71,1
31,Low,2,9,0,Combo Pack,667.14,0
26,Low,5,1,1,Bowls,673.57,1
18,Low,4,6,1,Bowls,863.59,1
30,Medium,5,6,0,Trays,913.9,1
21,Low,4,6,0,Plates,757.63,1
18,Medium,4,2,0,Spoons,602.23,0
57,Low,5,6,1,Trays,831.69,1
49,Low,5,0,0,Combo Pack,652.9,0
51,Medium,2,9,0,Spoons,754.09,0
45,Low,5,0,1,Plates,511.59,1
48,High,2,4,0,Plates,484.97,0
25,High,2,1,1,Bowls,373.17,0
56,Medium,2,8,1,Trays,683.35,1
43,Medium,4,6,1,Combo Pack,786.21,1
51,High,4,3,0,Spoons,588.78,0
20,Low,5,3,1,Plates,778.33,1
29,Low,4,1,1,Spoons,517.58,1
18,Low,5,4,0,Combo Pack,692.18,0
22,Medium,4,3,0,Spoons,631.44,0
47,Low,1,0,0,Trays,249.06,0
47,Medium,1,7,1,Bowls,530.65,1
34,High,5,2,1,Spoons,786.9,1
40,High,4,5,1,Bowls,771.45,1
32,Medium,4,3,1,Combo Pack,666.94,1
54,Low,2,8,0,Bowls,693.58,0
38,High,3,6,0,Spoons,696.59,0
31,Medium,5,8,1,Spoons,986.83,1
19,Low,3,9,1,Plates,834.89,1
28,Low,3,2,0,Spoons,526.54,0
56,High,5,0,1,Bowls,553.21,1
55,Medium,4,4,1,Plates,646.21,1
51,High,5,2,1,Spoons,643.84,1
55,High,3,5,1,Spoons,752.28,1
51,Medium,4,7,1,Combo Pack,876.52,1
35,Medium,1,3,0,Plates,365.22,0
47,Medium,5,4,1,Combo Pack,747.12,1
32,Low,5,4,0,Combo Pack,831.17,0
44,Medium,4,3,1,Combo Pack,644.17,1
51,Medium,1,3,0,Trays,360.71,0
55,Medium,1,3,1,Combo Pack,301.17,0
50,High,4,3,0,Bowls,658.01,0
41,Medium,2,3,0,Spoons,428.81,0
32,Medium,5,4,0,Trays,761.72,0
47,Medium,5,1,1,Combo Pack,686.71,1
59,Medium,3,1,1,Spoons,373.11,0
34,Medium,4,8,0,Plates,928.24,1
22,Low,3,1,1,Plates,484.22,0
46,Medium,3,5,1,Spoons,606.02,1
21,Low,1,1,1,Bowls,208.98,0
27,Low,5,4,0,Spoons,788.85,0
34,Medium,3,3,1,Spoons,564.1,0
27,Medium,1,6,1,Trays,492.36,1
34,High,4,6,1,Plates,821.68,1
37,Medium,3,5,1,Plates,738.15,1
41,Medium,5,9,1,Combo Pack,1024.61,1
22,Medium,3,4,1,Spoons,514.24,0
51,Medium,4,0,0,Spoons,541.3,0
23,Low,3,2,0,Bowls,584.17,0
19,Low,5,8,0,Plates,1019.64,1
30,Low,1,0,0,Bowls,145.61,0
28,Medium,5,4,1,Trays,793.81,1
40,Low,1,1,1,Combo Pack,194.07,0
33,Low,2,3,1,Bowls,482.14,0
48,Low,5,0,0,Plates,532.44,0
28,High,5,2,1,Trays,684.99,1
33,Low,4,9,0,Spoons,899.78,1
25,Medium,3,6,0,Trays,706.34,0
21,Low,1,9,0,Bowls,631.68,0
57,Medium,1,2,1,Plates,308.84,0
21,Low,4,3,0,Bowls,651.12,0
42,Low,4,1,1,Spoons,500.67,1
20,Medium,3,2,0,Spoons,531.34,0
49,Low,3,8,1,Plates,797.56,1
20,Low,5,2,1,Combo Pack,650.57,1
44,Low,2,4,1,Trays,612.05,0
46,Low,3,1,1,Trays,473.82,0
49,Low,4,3,1,Spoons,642.34,1
36,Low,3,6,1,Bowls,770.76,1
38,High,1,6,1,Bowls,592.09,1
22,Medium,2,2,0,Combo Pack,392.73,0
35,Medium,5,4,0,Bowls,817.37,0
45,Low,1,0,0,Trays,150.6,0
59,High,1,9,1,Bowls,642.64,1
39,Low,2,9,1,Combo Pack,740.05,1
38,Low,5,9,1,Trays,1059.24,1
23,Medium,4,0,1,Bowls,516.64,1
18,Low,5,4,0,Trays,827.99,0
22,Low,3,9,1,Spoons,861.88,1
58,Medium,1,8,1,Spoons,539.46,1
29,High,3,0,0,Spoons,353.08,0
43,Medium,4,0,1,Bowls,472.68,1
51,Medium,3,3,0,Combo Pack,535.89,0
31,High,5,3,1,Trays,802.54,1
43,Low,3,1,0,Plates,391.85,0
44,Low,4,8,1,Spoons,882.13,1
26,Low,4,8,1,Spoons,947.65,1
43,Medium,4,1,0,Plates,535.01,0
39,Medium,5,8,0,Plates,1023.02,1
47,High,4,5,0,Bowls,743.02,1
34,Medium,1,7,1,Trays,562.84,1
43,Medium,4,9,1,Spoons,938.58,1
53,Low,3,3,0,Combo Pack,583.35,0
18,High,3,1,0,Bowls,372.75,0
25,High,3,1,1,Bowls,431.83,0
52,High,5,8,1,Combo Pack,1014.83,1
32,Low,3,0,1,Combo Pack,426.68,0
39,Medium,5,6,0,Combo Pack,974.65,1
31,Low,5,2,1,Plates,680.45,1
43,Low,4,2,1,Spoons,673.97,1
45,Low,1,1,1,Plates,217.05,0
40,Medium,4,9,1,Spoons,1016.43,1
31,Medium,4,5,1,Plates,790.87,1
41,Low,5,9,1,Trays,1004.33,1
19,Low,5,1,0,Spoons,665.35,0
43,Medium,3,9,1,Bowls,847.44,1
31,Low,3,3,0,Spoons,581.28,0
24,Low,4,9,0,Spoons,938.84,1
20,Medium,2,8,0,Spoons,684.64,0
40,Medium,2,8,1,Trays,768.45,1
35,Low,3,5,0,Plates,645.06,0
55,Low,2,3,0,Bowls,491.32,0
52,Low,3,6,0,Plates,688.73,0
32,High,5,0,0,Plates,683.33,0
42,Medium,4,3,0,Combo Pack,616.08,0
54,Medium,1,4,1,Trays,369.29,0
45,Low,4,7,1,Combo Pack,926.23,1
27,Medium,3,1,0,Trays,427.75,0
56,Low,3,4,1,Plates,680.05,0
34,Medium,4,5,1,Plates,794.59,1
56,High,3,4,0,Trays,592.27,0
39,Medium,2,8,1,Plates,609.34,1
43,High,2,9,1,Plates,749.03,1
42,Medium,3,0,0,Bowls,405.08,0
34,Low,3,2,0,Combo Pack,558.36,0
30,High,2,1,1,Combo Pack,429.42,0
37,Low,3,2,1,Combo Pack,465.75,0
42,Medium,3,9,0,Spoons,890.06,0
21,Low,4,8,1,Bowls,938.27,1
27,Low,1,8,1,Combo Pack,653.67,1
20,Medium,2,9,1,Combo Pack,774.93,1
58,Low,4,1,1,Bowls,452.88,1
35,Medium,1,2,0,Plates,292.23,0
53,Medium,3,3,1,Combo Pack,492.21,0
39,Low,3,8,1,Plates,789.87,1
51,Low,4,2,0,Combo Pack,649.0,0
25,Medium,3,6,1,Trays,715.26,1
57,Low,5,2,1,Spoons,757.4,1
36,Medium,4,6,0,Combo Pack,817.09,1
59,Medium,1,6,1,Trays,435.08,1
58,High,4,8,0,Bowls,773.96,1
54,Medium,2,1,0,Trays,357.44,0
23,Medium,4,5,0,Bowls,739.3,1
43,Medium,3,8,0,Combo Pack,751.15,0
51,Low,3,1,1,Bowls,364.97,0
23,Low,5,1,0,Trays,613.26,0
54,Medium,5,4,1,Spoons,790.28,1
50,Medium,5,9,0,Plates,1083.29,1
39,Medium,1,9,1,Plates,659.43,1
38,High,5,9,1,Spoons,1130.4,1
23,High,1,7,1,Plates,498.22,1
23,High,5,8,0,Combo Pack,1044.05,1
21,Medium,1,1,0,Combo Pack,252.36,0
47,Low,4,4,0,Trays,734.73,0
28,Medium,4,6,1,Trays,778.17,1
47,Low,3,5,0,Bowls,703.58,0
48,Medium,1,5,1,Trays,464.76,1
41,Medium,2,6,1,Combo Pack,566.03,1
26,Medium,3,2,0,Trays,499.4,0
20,Low,4,2,1,Plates,588.02,1
48,Low,1,9,1,Bowls,674.46,1
57,Medium,5,8,1,Bowls,941.01,1
54,Low,2,7,0,Combo Pack,648.53,0
53,High,4,4,0,Trays,719.77,0
41,Low,3,5,0,Plates,651.65,0
48,Low,1,9,1,Trays,717.35,1
23,Low,2,0,1,Spoons,338.7,0
19,Medium,1,9,0,Trays,649.63,0
37,Medium,5,0,1,Combo Pack,610.83,1
45,Low,3,3,0,Trays,564.78,0
28,Low,1,1,1,Bowls,270.16,0
21,Medium,4,6,1,Plates,708.72,1
32,Low,3,1,1,Combo Pack,434.92,0
23,Medium,4,9,1,Spoons,875.78,1
47,Medium,1,1,0,Plates,313.91,0
55,Low,3,4,0,Plates,596.96,0
19,Low,4,3,1,Bowls,640.33,1
32,High,5,7,0,Bowls,994.84,1
28,Medium,5,3,0,Bowls,771.12,0
25,Medium,1,5,1,Combo Pack,393.57,1
43,Low,3,4,0,Trays,596.45,0
22,Medium,2,1,1,Plates,333.24,0
23,Low,3,7,1,Trays,662.77,1
43,Medium,5,1,1,Trays,615.49,1
21,High,4,8,1,Bowls,890.82,1
36,Low,2,8,1,Trays,694.25,1
37,Low,1,2,1,Plates,225.89,0
50,Low,2,3,1,Plates,507.58,0
37,Low,1,7,0,Spoons,544.89,0
29,Low,2,8,1,Combo Pack,701.88,1
18,Low,1,2,1,Trays,320.03,0
43,Medium,1,4,0,Combo Pack,360.6,0
31,Medium,2,7,0,Combo Pack,672.82,0
55,Low,2,2,1,Combo Pack,381.65,0
54,High,1,6,0,Combo Pack,455.17,0
28,Low,5,7,1,Plates,978.67,1
53,High,2,9,1,Trays,824.58,1
30,Low,3,2,0,Spoons,536.24,0
20,High,4,1,1,Combo Pack,596.15,1
50,Medium,1,9,0,Spoons,623.97,0
23,High,1,6,1,Plates,420.12,1
27,High,4,8,0,Plates,974.51,1
22,Low,5,0,1,Bowls,702.73,1
40,High,4,2,0,Combo Pack,677.14,0
27,Low,2,4,0,Bowls,483.21,0
19,Low,4,2,0,Spoons,542.27,0
30,Low,1,0,0,Trays,146.72,0
57,Medium,4,6,1,Bowls,715.81,1
19,Low,3,6,0,Plates,694.63,0
37,Medium,2,9,1,Combo Pack,830.28,1
18,Medium,4,7,1,Spoons,842.92,1
54,Medium,1,4,1,Plates,415.12,0
26,High,2,9,1,Trays,818.78,1
34,Medium,1,4,1,Combo Pack,379.8,0
26,Low,5,4,0,Trays,901.78,0
28,Low,3,0,0,Trays,499.6,0
32,Low,5,9,1,Combo Pack,1043.44,1
41,Low,3,4,1,Combo Pack,571.12,0
55,Low,4,5,1,Trays,784.86,1
52,Low,2,0,0,Spoons,282.62,0
47,High,4,6,0,Combo Pack,742.17,1
48,Medium,3,0,0,Plates,464.06,0
22,Low,3,1,1,Bowls,510.82,0
31,Medium,3,1,1,Spoons,457.78,0
28,Low,1,4,0,Combo Pack,336.86,0
26,Medium,2,9,0,Combo Pack,688.52,0
51,Medium,4,6,1,Spoons,805.36,1
29,Medium,4,0,1,Bowls,475.01,1
52,Medium,5,9,0,Trays,1032.95,1
52,High,3,0,1,Plates,451.1,0
18,High,3,0,1,Combo Pack,436.66,0
57,Medium,3,5,1,Bowls,718.91,1
39,Medium,4,1,1,Plates,500.47,1
46,Medium,5,0,0,Spoons,582.84,0
25,Low,1,5,0,Combo Pack,487.95,0
28,Low,2,1,1,Trays,372.4,0
58,Low,1,5,0,Spoons,526.62,0
54,Medium,4,9,1,Combo Pack,971.03,1
31,Medium,3,7,1,Bowls,842.41,1
47,Low,2,1,1,Plates,377.0,0
52,High,4,8,0,Plates,953.11,1
38,High,4,7,0,Combo Pack,833.82,1
54,Medium,4,9,1,Spoons,950.71,1
22,Medium,2,0,0,Trays,345.55,0
36,High,2,6,1,Bowls,680.65,1
31,Low,5,9,1,Combo Pack,1086.46,1
43,Medium,5,5,0,Bowls,845.84,1
21,Low,1,5,1,Plates,518.87,1
42,Medium,2,5,0,Trays,440.4,0
59,Low,2,5,0,Bowls,478.89,0
42,High,2,9,1,Combo Pack,784.08,1
35,High,5,6,1,Trays,900.71,1
57,Low,4,2,1,Spoons,630.28,1
25,Medium,3,5,1,Combo Pack,653.22,1
56,High,5,2,1,Bowls,728.55,1
57,Medium,2,6,0,Trays,559.28,0
31,High,5,6,0,Combo Pack,928.52,1
49,Medium,1,7,1,Trays,599.72,1
55,Low,2,1,0,Trays,411.03,0
50,Low,1,8,1,Trays,700.68,1
40,Low,2,4,1,Bowls,512.2,0
32,Medium,5,8,1,Combo Pack,1013.7,1
50,Low,4,9,0,Plates,873.84,1
42,Medium,3,4,0,Plates,573.43,0
34,Medium,1,6,0,Bowls,490.35,0
50,Medium,5,8,1,Bowls,1052.52,1
19,High,4,3,1,Trays,619.45,1
31,High,5,1,1,Combo Pack,689.82,1
57,Medium,1,8,1,Combo Pack,599.92,1
57,High,3,1,0,Spoons,441.14,0
56,Medium,5,2,1,Spoons,712.44,1
23,Medium,2,9,1,Plates,730.44,1
23,High,4,1,0,Spoons,528.55,0
20,Low,5,2,0,Spoons,614.76,0
24,Low,4,5,1,Plates,737.6,1
25,High,2,2,1,Plates,376.0,0
59,Medium,3,9,0,Spoons,824.2,0
32,High,3,7,1,Combo Pack,770.84,1
46,High,2,5,0,Spoons,582.93,0
50,Low,4,6,0,Trays,811.61,1
47,High,5,0,1,Trays,649.77,1
56,Medium,2,2,1,Trays,428.78,0
44,Medium,1,2,1,Bowls,285.25,0
53,Medium,4,1,0,Trays,526.86,0
46,High,3,6,0,Combo Pack,715.64,0
55,Low,2,8,0,Bowls,728.69,0
50,Medium,3,3,0,Bowls,619.89,0
54,Medium,4,4,0,Trays,759.56,0
44,Medium,3,2,0,Spoons,472.93,0
50,Medium,2,8,0,Plates,694.9,0
21,Low,4,3,0,Spoons,683.55,0
39,Low,1,4,1,Spoons,453.4,0
19,Low,2,0,0,Bowls,346.95,0
27,High,5,1,0,Bowls,646.81,0
22,Low,2,8,1,Bowls,637.3,1
27,Low,4,1,0,Combo Pack,500.05,0
50,High,2,4,1,Combo Pack,513.63,0
55,Low,1,7,0,Plates,567.11,0
30,High,1,2,0,Bowls,245.07,0
48,Medium,5,5,0,Trays,852.23,1
53,High,3,3,0,Bowls,581.56,0
41,Low,4,6,1,Combo Pack,742.44,1
32,Low,4,9,1,Bowls,1005.25,1
46,Medium,3,2,0,Combo Pack,481.12,0
25,High,1,5,0,Bowls,512.88,0
22,Medium,1,9,1,Trays,623.33,1
46,Low,2,8,0,Plates,648.67,0
21,Medium,5,9,1,Trays,1027.09,1
29,Medium,5,0,0,Combo Pack,595.24,0
19,Medium,5,2,1,Spoons,680.58,1
44,Medium,2,1,0,Trays,339.2,0
48,High,5,7,0,Bowls,966.7,1
53,Medium,3,6,1,Plates,691.44,1
53,Low,2,1,1,Bowls,346.69,0
43,Medium,3,5,1,Bowls,564.54,1
44,Low,2,2,1,Trays,419.58,0
22,Medium,5,7,1,Plates,945.54,1
37,Medium,3,9,0,Spoons,930.51,0
28,Low,3,2,1,Bowls,453.02,0
27,Low,3,9,0,Plates,759.59,0
57,Low,2,8,1,Spoons,730.9,1
55,High,4,0,1,Bowls,517.33,1
23,High,5,4,0,Plates,749.58,0
25,Low,3,2,0,Trays,423.51,0
40,High,4,5,0,Bowls,826.87,1
43,Medium,5,9,0,Bowls,1120.71,1
29,Low,5,1,1,Plates,525.63,1
43,Low,3,8,0,Bowls,777.09,0
30,Medium,3,5,0,Spoons,733.21,0
57,Medium,2,6,1,Bowls,576.2,1
35,Medium,4,4,1,Combo Pack,675.47,1
42,Low,4,8,1,Spoons,885.86,1
50,Low,3,0,1,Plates,343.96,0
57,Medium,5,4,1,Spoons,714.76,1
29,Low,3,9,1,Combo Pack,902.63,1
53,Low,5,5,1,Combo Pack,757.85,1
21,Low,5,6,1,Bowls,912.36,1
22,High,3,3,0,Bowls,594.33,0
54,High,1,0,0,Trays,127.44,0
25,Medium,4,7,1,Spoons,803.79,1
59,High,5,9,1,Trays,1110.66,1
45,Low,5,3,1,Combo Pack,776.64,1
48,Medium,1,2,1,Bowls,269.14,0
26,Low,2,6,1,Bowls,660.11,1
46,Medium,1,1,1,Bowls,310.33,0
31,High,1,7,1,Plates,563.45,1
57,Medium,5,5,1,Combo Pack,804.99,1
58,Low,4,6,0,Bowls,779.33,1
39,Medium,1,4,0,Combo Pack,414.32,0
28,Low,2,8,1,Bowls,690.57,1
40,High,3,4,0,Spoons,646.95,0
18,Medium,1,4,1,Combo Pack,323.51,0
54,Medium,1,2,0,Trays,225.29,0
38,Medium,2,0,1,Plates,309.04,0
43,Medium,4,1,1,Trays,525.42,1
53,Low,1,7,1,Combo Pack,518.65,1
40,Medium,1,0,0,Bowls,111.6,0
18,Low,4,6,1,Combo Pack,800.98,1
57,Medium,2,4,1,Plates,497.36,0
32,High,1,2,0,Combo Pack,332.67,0
38,High,4,6,1,Bowls,803.45,1
26,Medium,1,8,0,Trays,593.37,0
26,Medium,3,1,0,Spoons,508.85,0
27,Low,5,7,0,Trays,884.38,1
43,Medium,3,8,1,Bowls,826.82,1
58,Low,1,2,1,Bowls,216.44,0
52,Medium,2,1,1,Plates,308.08,0
42,Low,5,6,0,Combo Pack,839.37,1
43,Low,3,4,0,Combo Pack,639.1,0
28,Medium,4,4,1,Trays,696.73,1
55,Low,2,9,1,Spoons,749.32,1
19,Medium,3,4,1,Spoons,544.66,0
24,Low,4,3,0,Plates,635.02,0
35,Low,1,4,0,Bowls,361.83,0
44,Medium,4,3,1,Plates,669.17,1
51,Low,3,5,1,Combo Pack,600.45,1
44,Low,3,3,0,Bowls,616.49,0
34,Medium,1,1,0,Plates,166.22,0
41,Low,4,8,1,Trays,859.67,1
42,High,4,1,0,Combo Pack,633.86,0
24,Low,1,8,1,Spoons,578.24,1
23,Low,4,9,0,Plates,884.26,1
41,Medium,1,5,0,Combo Pack,460.95,0
50,Low,2,8,1,Combo Pack,676.23,1
46,Low,3,8,0,Spoons,758.21,0
39,Low,2,2,1,Spoons,345.21,0
43,Low,5,0,1,Spoons,738.42,1
45,High,5,0,0,Plates,587.42,0
38,Low,5,2,0,Spoons,603.72,0
24,Medium,1,4,1,Trays,474.69,0
34,High,4,2,0,Combo Pack,630.55,0
37,Medium,2,8,0,Spoons,661.68,0
58,High,2,8,0,Combo Pack,653.34,0
37,Low,2,2,1,Bowls,433.67,0
39,High,2,2,1,Bowls,387.65,0
45,Low,5,4,1,Spoons,703.7,1
57,Medium,2,1,0,Combo Pack,439.36,0
24,Medium,4,5,1,Bowls,728.3,1
18,Low,5,6,1,Spoons,974.78,1
49,Medium,2,8,1,Combo Pack,763.92,1
30,Medium,1,5,1,Spoons,399.95,1
47,Low,3,2,1,Combo Pack,551.66,0
40,Low,3,4,1,Bowls,567.43,0
36,Medium,3,3,1,Spoons,456.66,0
49,Medium,5,4,0,Bowls,778.77,0
47,High,2,7,0,Spoons,669.88,0
46,Medium,5,7,0,Plates,926.86,1
46,High,4,5,0,Bowls,734.65,1
47,Medium,1,0,0,Bowls,257.18,0
33,Low,1,7,1,Trays,555.32,1
57,Low,3,7,0,Bowls,707.84,0
36,Medium,3,1,1,Combo Pack,485.1,0
35,Medium,3,3,1,Spoons,559.88,0
18,Low,2,1,0,Plates,223.92,0
31,Low,4,3,1,Combo Pack,671.42,1
19,High,4,9,1,Combo Pack,969.59,1
45,Medium,4,6,0,Combo Pack,801.01,1
47,Medium,4,8,0,Combo Pack,944.59,1
55,Medium,3,7,0,Plates,716.38,0
21,Low,1,8,1,Trays,616.82,1
18,Low,3,7,0,Bowls,671.65,0
25,Low,4,1,1,Combo Pack,570.35,1
46,Low,3,6,1,Bowls,797.65,1
56,Medium,4,1,0,Bowls,500.26,0
20,Medium,5,1,1,Combo Pack,612.01,1
49,High,1,3,0,Trays,314.5,0
27,High,5,0,1,Bowls,606.5,1
27,Low,2,4,0,Spoons,446.85,0
36,Medium,3,5,1,Bowls,671.06,1
51,Medium,2,8,0,Combo Pack,742.34,0
50,High,3,9,1,Plates,876.72,1
40,Low,5,7,1,Bowls,861.58,1
45,Medium,4,1,0,Trays,599.76,0
49,Medium,4,0,1,Spoons,546.87,1
24,Low,3,1,0,Spoons,491.51,0
46,Low,4,6,1,Plates,818.64,1
25,Medium,5,3,1,Plates,761.01,1
18,Medium,4,9,0,Bowls,1001.62,1
20,Low,5,4,0,Combo Pack,896.18,0
41,Medium,2,6,0,Trays,552.35,0
40,Low,5,2,1,Spoons,753.91,1
25,Medium,1,9,0,Plates,645.69,0
54,Low,1,1,0,Trays,243.52,0
20,High,1,6,0,Combo Pack,423.17,0
50,Low,3,4,0,Spoons,585.76,0
45,Low,3,0,1,Spoons,350.14,0
25,Low,3,0,0,Combo Pack,376.81,0
51,Low,5,8,1,Spoons,945.09,1
52,Medium,3,4,1,Combo Pack,577.55,0
49,Low,2,0,1,Spoons,279.69,0
41,High,1,6,0,Bowls,504.84,0
31,Low,5,8,1,Combo Pack,919.26,1
49,Low,1,0,1,Trays,127.72,0
33,Low,3,9,0,Bowls,868.1,0
21,Low,5,3,0,Trays,710.13,0
54,Low,4,2,0,Spoons,653.73,0
38,Medium,2,4,0,Trays,511.26,0
31,Medium,3,6,0,Bowls,730.34,0
48,Medium,3,7,1,Combo Pack,820.53,1
35,Medium,2,1,0,Plates,334.51,0
24,Medium,2,6,1,Trays,571.28,1
27,Low,4,0,1,Plates,543.59,1
24,Medium,3,6,0,Trays,725.48,0
50,High,3,7,1,Trays,740.63,1
40,Medium,1,1,0,Combo Pack,319.57,0
38,Medium,5,8,1,Spoons,989.39,1
36,Low,5,0,0,Bowls,601.64,0
36,Medium,1,5,1,Bowls,451.06,1
53,Medium,5,0,1,Bowls,553.27,1
46,Medium,2,2,0,Spoons,403.88,0
35,High,5,5,0,Plates,919.84,1
19,Low,5,2,1,Bowls,722.25,1
18,Low,1,7,0,Plates,551.55,0
22,Medium,4,4,1,Spoons,691.91,1
37,High,5,1,1,Spoons,666.54,1
28,Low,5,3,0,Combo Pack,787.49,0
59,Low,4,8,0,Bowls,930.46,1
19,Low,1,3,0,Combo Pack,333.41,0
20,Low,4,9,0,Bowls,966.24,1
40,Medium,1,9,1,Spoons,674.0,1
29,Medium,2,7,1,Spoons,599.64,1
37,Low,1,4,0,Trays,408.41,0
22,Low,2,9,0,Trays,641.93,0
54,Low,2,0,0,Spoons,324.13,0
55,Low,1,6,0,Spoons,533.02,0
47,Medium,3,2,1,Plates,537.38,0
26,High,1,9,0,Plates,630.25,0
51,High,5,7,1,Combo Pack,965.45,1
52,Low,5,2,1,Trays,771.2,1
39,High,3,0,1,Trays,470.69,0
41,Medium,2,4,0,Spoons,498.54,0
34,Medium,3,1,1,Spoons,456.97,0
27,Medium,5,3,1,Combo Pack,805.55,1
47,Low,3,0,1,Trays,324.96,0
40,Low,1,8,0,Plates,583.85,0
49,Low,3,5,0,Bowls,716.78,0
34,Low,2,7,1,Combo Pack,698.76,1
34,Low,1,3,0,Bowls,368.46,0
31,Medium,4,8,0,Plates,824.71,1
26,Medium,5,1,1,Plates,647.5,1
57,Medium,5,8,0,Bowls,970.5,1
19,Low,3,4,0,Combo Pack,616.55,0
42,High,1,5,0,Bowls,409.53,0
56,High,4,2,1,Combo Pack,548.71,1
26,Medium,1,3,0,Combo Pack,246.76,0
39,High,5,5,1,Spoons,911.09,1
21,Medium,1,6,0,Trays,480.01,0
43,High,4,0,0,Trays,507.86,0
46,Low,3,6,1,Plates,699.89,1
51,Low,2,0,0,Spoons,246.63,0
40,Low,1,4,1,Trays,337.05,0
54,Low,2,5,0,Combo Pack,499.73,0
28,Low,5,1,0,Combo Pack,613.84,0
23,Medium,3,9,0,Bowls,868.33,0
35,Medium,3,8,0,Bowls,760.21,0
38,Medium,1,9,1,Combo Pack,737.32,1
59,Low,3,5,1,Combo Pack,701.36,1
53,High,1,6,0,Bowls,540.42,0
58,Medium,1,9,1,Trays,644.02,1
55,Low,2,7,1,Plates,725.71,1
51,Medium,3,9,0,Bowls,839.1,0
34,Low,1,0,0,Trays,198.44,0
54,Low,2,7,1,Trays,658.5,1
42,High,4,3,1,Trays,685.09,1
55,Low,2,9,1,Spoons,781.85,1
29,Medium,2,7,1,Spoons,626.24,1
40,High,1,5,1,Trays,423.35,1
59,Medium,5,8,0,Combo Pack,1032.0,1
39,Low,5,3,0,Spoons,785.76,0
38,Low,5,1,0,Bowls,630.33,0
44,Low,2,1,1,Spoons,270.64,0
48,Medium,1,4,1,Combo Pack,389.63,0
23,Medium,3,9,1,Plates,881.18,1
44,Low,2,8,1,Spoons,790.27,1
57,High,2,2,1,Trays,340.1,0
51,Medium,1,7,1,Trays,528.67,1
29,Low,4,3,0,Trays,630.53,0
24,Medium,2,5,1,Plates,617.79,1
27,Medium,4,9,1,Combo Pack,948.25,1
34,Low,4,5,0,Bowls,704.63,1
43,Low,5,2,1,Combo Pack,727.93,1
38,High,1,4,1,Plates,379.77,0
45,Medium,4,2,0,Trays,538.78,0
19,Medium,1,0,0,Combo Pack,155.36,0
18,Medium,5,6,1,Bowls,986.7,1
53,Low,1,3,1,Trays,369.21,0
43,Low,2,6,1,Bowls,605.39,1
46,Medium,4,2,0,Spoons,587.51,0
38,Low,1,4,0,Bowls,414.61,0
28,Low,3,4,0,Trays,614.01,0
57,High,1,1,0,Spoons,264.61,0
28,High,4,9,0,Trays,955.74,1
